GENUS	SPECIES
Actinomyces	funkei
Actinomyces	gaoshouyii
Actinomyces	georgiae
Actinomyces	gerencseriae
Actinomyces	graevenitzii
Actinomyces	haliotis
Actinomyces	hominis
Actinomyces	hongkongensis
Actinomyces	hordeovulneris
Actinomyces	howellii
Actinomyces	humiferus
Actinomyces	hyovaginalis
Actinomyces	israelii
Actinomyces	johnsonii
Actinomyces	liubingyangii
Actinomyces	marimammalium
Actinomyces	massiliensis
Actinomyces	meyeri
Actinomyces	naeslundii
Actinomyces	nasicola
Actinomyces	naturae
Actinomyces	neuii
Actinomyces	neuii
Actinomyces	neuii
Actinomyces	odontolyticus
Actinomyces	oricola
Actinomyces	oris
Actinomyces	pyogenes
Actinomyces	radicidentis
Actinomyces	radingae
Actinomyces	ruminicola
Actinomyces	slackii
Actinomyces	suimastitidis
Actinomyces	suis
Actinomyces	tangfeifanii
Actinomyces	timonensis
Actinomyces	turicensis
Actinomyces	urogenitalis
Actinomyces	vaccimaxillae
Actinomyces	viscosus
Actinomyces	vulturis
Actinomyces	weissii
Actinomyces	
Actinomycetospora	atypica
Actinomycetospora	callitridis
Actinomycetospora	chiangmaiensis
Actinomycetospora	chibensis
Actinomycetospora	chlora
Actinomycetospora	cinnamomea
Actinomycetospora	corticicola
Actinomycetospora	endophytica
Actinomycetospora	iriomotensis
Actinomycetospora	lutea
Actinomycetospora	rhizophila
Actinomycetospora	rishiriensis
Actinomycetospora	straminea
Actinomycetospora	succinea
Actinomycetospora	
Actinophytocola	algeriensis
Actinophytocola	burenkhanensis
Actinophytocola	corallina
Actinophytocola	gilvus
Actinophytocola	glycyrrhizae
Actinophytocola	oryzae
Actinophytocola	sediminis
Actinophytocola	timorensis
Actinophytocola	xanthii
Actinophytocola	xinjiangensis
Actinophytocola	
Actinoplanes	abujensis
Actinoplanes	armeniacus
Actinoplanes	atraurantiacus
Actinoplanes	auranticolor
Actinoplanes	bogorensis
Actinoplanes	bogoriensis
Actinoplanes	brasiliensis
Actinoplanes	caeruleus
Actinoplanes	campanulatus
Actinoplanes	capillaceus
Actinoplanes	cibodasensis
Actinoplanes	consettensis
Actinoplanes	couchii
Actinoplanes	cyaneus
Actinoplanes	deccanensis
Actinoplanes	derwentensis
Actinoplanes	deserti
Actinoplanes	digitatis
Actinoplanes	durhamensis
Actinoplanes	ferrugineus
Actinoplanes	friuliensis
Actinoplanes	globisporus
Actinoplanes	humidus
Actinoplanes	ianthinogenes
Actinoplanes	italicus
Actinoplanes	lichenis
Actinoplanes	liguriensis
Actinoplanes	lobatus
Actinoplanes	luteus
Actinoplanes	lutulentus
Actinoplanes	minutisporangius
Actinoplanes	missouriensis
Actinoplanes	nipponensis
Actinoplanes	octamycinicus
Actinoplanes	palleronii
Actinoplanes	philippinensis
Actinoplanes	ramoplaninifer
Actinoplanes	rectilineatus
Actinoplanes	regularis
Actinoplanes	rhizophilus
